Timestamp, PID, Name, CPU (%), RAM (MB), RAM (%), Running time 
2025-11-18T11:07:31+07:00,18796,Spotify.exe,19.11,234.46,1.44,1h23m35.4487095s
2025-11-18T11:07:31+07:00,18756,msedge.exe,15.83,439.27,2.70,1h2m39.4517373s
2025-11-18T11:07:31+07:00,17964,Code.exe,9.11,355.39,2.18,1h1m42.4530553s
2025-11-18T11:07:31+07:00,15024,msedge.exe,8.11,273.03,1.68,1h3m51.4530553s
2025-11-18T11:07:31+07:00,19272,msedge.exe,4.84,290.73,1.79,1h3m53.4487095s
2025-11-18T11:07:31+07:00,8700,Code.exe,2.77,508.52,3.12,1h1m10.4530553s
2025-11-18T11:07:31+07:00,18756,msedge.exe,15.83,439.27,2.70,1h2m39.4517373s
2025-11-18T11:07:31+07:00,12788,msedge.exe,4.56,365.91,2.25,51m49.4510615s
2025-11-18T11:07:31+07:00,17964,Code.exe,9.11,355.39,2.18,1h1m42.4530553s
2025-11-18T11:07:31+07:00,19272,msedge.exe,4.84,290.73,1.79,1h3m53.4487095s
2025-11-18T11:07:35+07:00,18796,Spotify.exe,19.11,234.46,1.44,1h23m39.4488635s
2025-11-18T11:07:35+07:00,18756,msedge.exe,15.83,432.84,2.66,1h2m43.4421293s
2025-11-18T11:07:35+07:00,17964,Code.exe,9.11,353.85,2.17,1h1m46.4459295s
2025-11-18T11:07:35+07:00,15024,msedge.exe,8.11,271.61,1.67,1h3m55.4471708s
2025-11-18T11:07:35+07:00,19272,msedge.exe,4.84,290.66,1.78,1h3m57.4426413s
2025-11-18T11:07:35+07:00,8700,Code.exe,2.77,508.73,3.12,1h1m14.4409106s
2025-11-18T11:07:35+07:00,18756,msedge.exe,15.83,432.84,2.66,1h2m43.4421293s
2025-11-18T11:07:35+07:00,12788,msedge.exe,4.55,366.64,2.25,51m53.44344s
2025-11-18T11:07:35+07:00,17964,Code.exe,9.11,353.85,2.17,1h1m46.4459295s
2025-11-18T11:07:35+07:00,8752,explorer.exe,3.81,292.51,1.80,1h24m14.4426413s
2025-11-18T11:07:39+07:00,18796,Spotify.exe,19.11,234.22,1.44,1h23m43.4410976s
2025-11-18T11:07:39+07:00,18756,msedge.exe,15.84,440.46,2.70,1h2m47.4434897s
2025-11-18T11:07:39+07:00,17964,Code.exe,9.11,353.31,2.17,1h1m50.4446337s
2025-11-18T11:07:39+07:00,15024,msedge.exe,8.11,276.86,1.70,1h3m59.4446337s
2025-11-18T11:07:39+07:00,19272,msedge.exe,4.84,290.61,1.78,1h4m1.441731s
2025-11-18T11:07:39+07:00,8700,Code.exe,2.77,508.62,3.12,1h1m18.4376139s
2025-11-18T11:07:39+07:00,18756,msedge.exe,15.84,440.46,2.70,1h2m47.4434897s
2025-11-18T11:07:39+07:00,12788,msedge.exe,4.54,368.45,2.26,51m57.4410976s
2025-11-18T11:07:39+07:00,17964,Code.exe,9.11,353.31,2.17,1h1m50.4446337s
2025-11-18T11:07:39+07:00,19272,msedge.exe,4.84,290.61,1.78,1h4m1.441731s
2025-11-18T11:07:43+07:00,18796,Spotify.exe,19.12,235.13,1.44,1h23m47.447824s
2025-11-18T11:07:43+07:00,18756,msedge.exe,15.86,440.01,2.70,1h2m51.447824s
2025-11-18T11:07:43+07:00,17964,Code.exe,9.11,353.52,2.17,1h1m54.4460439s
2025-11-18T11:07:43+07:00,15024,msedge.exe,8.12,273.91,1.68,1h4m3.4472418s
